aws_region_name,aws_sub_region_name,aws_municipality_name,aws_neighborhood_name
"",Jawa Timur,Pamekasan,Waru
"",Jawa Timur,Probolinggo Kabupaten,Besuk
"",Jawa Barat,Cirebon Kabupaten,Astanajapura
Bandung Raya,Jawa Barat,Bandung,Bandung Kulon
"",Jawa Tengah,Magelang Kabupaten,Grabag
"",Sumatera Utara,Deli Serdang,Biru-Biru
"",Papua Barat Daya,Raja Ampat,Waigeo Selatan
"",Jawa Tengah,Banjarnegara,Pagedongan
"",Jawa Barat,Majalengka,Lemahsugih
"",Nusa Tenggara Timur,Manggarai Timur,Kotakomba
"",Jawa Timur,Jombang,Megaluh
"",Nusa Tenggara Timur,Sumba Barat,Lamboya
Bandung Raya,Jawa Barat,Bandung Kabupaten,Pameungpeuk
"",Jawa Timur,Sidoarjo,Sukodono
"",Jawa Barat,Bandung Kota,Cibeunying Kaler
"",Jawa Barat,Bogor Kabupaten,Babakan Madang
"",DKI Jakarta,Jakarta Barat,Kembangan
"",Jawa Timur,Lamongan,Lamongan
"",Jawa Barat,Bogor Kabupaten,Tajur Halang
"",Jawa Barat,Garut,Cibiuk
JABODETABEK,Banten,Tangerang Kabupaten,Solear
"",Bengkulu,Bengkulu,Selebar
JABODETABEK,DKI Jakarta,Jakarta Barat,Grogol Petamburan
"",Jawa Tengah,Banyumas,Purwokerto Timur
"",Lampung,Mesuji,Mesuji
"",Jawa Tengah,Sukoharjo,Bendosari
JABODETABEK,DKI Jakarta,Jakarta,Duren Sawit
"",Jawa Barat,Bogor Kabupaten,Tenjo
"",Jawa Tengah,Salatiga,Tingkir
"",Kalimantan Selatan,Banjar,Kertak Hanyar
JABODETABEK,DKI Jakarta,Jakarta,Setia Budi
"",Aceh,Aceh Tengah,""
"",Jawa Tengah,Jepara,Mlonggo
"",Jawa Timur,Bojonegoro,Kalitidu
JABODETABEK,Banten,Tangerang,Ciputat Timur
Bandung Raya,Jawa Barat,Bandung,Cileunyi
"",Jawa Tengah,Blora,Jiken
"",Jawa Tengah,Demak,Karangawen
"",Kepulauan Riau,Karimun,""
"",Jawa Barat,Subang,""
"",Daerah Istimewa Yogyakarta,Gunung Kidul,Paliyan
"",Kalimantan Barat,Landak,Sebangki
"",Sumatera Utara,Humbang Hasundutan,Doloksanggul
"",Jawa Barat,Indramayu,Karangampel
"",Kalimantan Tengah,Kotawaringin Timur,Kota Besi
"",Jawa Timur,Bondowoso,Tamanan
"",Kalimantan Barat,Singkawang,Singkawang Selatan
"",Jawa Tengah,Grobogan,Kradenan
"",Nusa Tenggara Timur,Sumba Barat,Loli
"",Jawa Tengah,Blora,Banjarejo
"",Jawa Barat,Kuningan,Japara
"",Banten,Lebak,Cijaku
JABODETABEK,Banten,Tangerang,Legok
"",Jawa Tengah,Klaten,Klatentengah
"",Gorontalo,Bone Bolango,""
"",Sumatera Selatan,Banyu Asin,Banyuasin I
"",DKI Jakarta,Jakarta Pusat,Kemayoran
"",DKI Jakarta,Jakarta Barat,Kebon Jeruk
Bandung Raya,Jawa Barat,Bandung,Parongpong
"",Jawa Timur,Bangkalan,Burneh
"",Jawa Tengah,Sragen,Sidoharjo
"",Jawa Barat,Bandung Kota,Cibiru
JABODETABEK,Jawa Barat,Bogor Kota,Bogor Selatan
"",Banten,Tangerang Kota,Cibodas
Bandung Raya,Jawa Barat,Bandung,Arcamanik
JABODETABEK,Banten,Tangerang Kabupaten,Balaraja
"",Sulawesi Tenggara,Buton Selatan,""
"",Jawa Tengah,Semarang Kabupaten,Kaliwungu
"",Jawa Barat,Bandung Kabupaten,Rancabali
"",Lampung,Bandar Lampung,Teluk Betung Timur
Bandung Raya,Jawa Barat,Bandung,Ujung Berung
"",Jawa Barat,Ciamis,Cijeungjing
"",Banten,Pandeglang,Koroncong
"",Jawa Tengah,Banyumas,Cilongok
"",Kalimantan Timur,Balikpapan,""
"",Jambi,Muaro Jambi,Sekernan
"",Jawa Timur,Banyuwangi,Blimbingsari
"",Jawa Barat,Bekasi Kabupaten,Sukakarya
"",Jawa Timur,Ngawi,Kwadungan
"",Kepulauan Bangka Belitung,Belitung,""
"",Aceh,Langsa,Langsa Kota
"",Bengkulu,Kaur,Kaur Selatan
"",Bengkulu,Bengkulu,Muara Bangka Hulu
"",Jawa Timur,Bojonegoro,Kanor
"",Lampung,Way Kanan,Pakuan Ratu
JABODETABEK,DKI Jakarta,Jakarta Utara,Pademangan
"",Jawa Timur,Kediri Kota,Pesantren
"",Jawa Timur,Malang,Kedungkandang
"",DKI Jakarta,Jakarta Selatan,Pasar Minggu
"",DKI Jakarta,Jakarta Barat,Tamansari
Bandung Raya,Jawa Barat,Bandung Kabupaten,Nagreg
"",Jawa Tengah,Semarang Kota,Gayamsari
"",Jawa Timur,Madiun Kabupaten,Sawahan
"",Jawa Tengah,Banjarnegara,Susukan
"",Jawa Timur,Ponorogo,Babadan
JABODETABEK,Jawa Barat,Bogor,Gunung Putri
"",Jawa Timur,Probolinggo Kabupaten,Kuripan
"",Jawa Barat,Bekasi Kabupaten,Kedungwaringin
"",Jawa Barat,Sukabumi Kabupaten,Ciracap
"",Sulawesi Tenggara,Kendari,Baruga
"",Jawa Barat,Bandung Kabupaten,Kertasari
Bandung Raya,Jawa Barat,Bandung,Antapani
"",Jawa Timur,Pasuruan,Rembang
"",Sumatera Utara,Karo,Tigapanah
"",Aceh,Aceh Barat,Johan Pahlawan
"",Lampung,Lampung Utara,Sungkai Jaya
"",Banten,Serang Kabupaten,Pontang
"",Lampung,Pringsewu,Banyumas
"",Nusa Tenggara Barat,Mataram,""
Bandung Raya,Jawa Barat,Bandung Kota,Buahbatu
"",Daerah Istimewa Yogyakarta,Sleman,Mlati
"",Jawa Timur,Malang Kabupaten,Gondanglegi
"",DKI Jakarta,Jakarta Barat,Grogol Petamburan
JABODETABEK,Banten,Tangerang Kabupaten,Cisauk
"",Jawa Timur,Lamongan,Laren
JABODETABEK,Jawa Barat,Bogor Kabupaten,Taman Sari
"",Jawa Timur,Malang,Klojen
"",Nusa Tenggara Barat,Lombok Barat,Labu API
JABODETABEK,Jawa Barat,Bogor Kabupaten,Cibungbulang
"",Jawa Timur,Lamongan,Glagah
"",Kalimantan Timur,Samarinda,Samarinda Ulu
"",Jawa Barat,Tasikmalaya Kota,Purbaratu
"",Jawa Barat,Karawang,Rengasdengklok
JABODETABEK,DKI Jakarta,Jakarta,Cempaka Putih
"",Jawa Tengah,Pemalang,Ulujami
Bandung Raya,Jawa Barat,Bandung,Coblong
"",Nusa Tenggara Timur,Rote Ndao,Rote Barat
"",Jawa Timur,Pasuruan,Kejayan
"",Lampung,Mesuji,Mesuji Timur
"",Jawa Barat,Majalengka,Argapura
"",Jawa Tengah,Tegal,""
"",Jawa Tengah,Tegal Kabupaten,Dukuhwaru
JABODETABEK,Banten,Tangerang Selatan,Ciputat
"",Jawa Barat,Bandung Kota,Sukasari
"",Kepulauan Riau,Batam,Batu Ampar
"",Jawa Barat,Bekasi Kota,Bekasi Utara
"",Jawa Timur,Jember,Patrang
"",Jawa Tengah,Klaten,Juwiring
"",Banten,Tangerang Kabupaten,Curug
"",Sumatera Utara,Medan,Medan Perjuangan
"",Jawa Barat,Bogor Kabupaten,Jonggol
JABODETABEK,DKI Jakarta,Jakarta,Setiabudi
"",Jawa Timur,Gresik,Duduksampeyan
"",Sumatera Utara,Medan,Medan Helvetia
"",Jawa Timur,Banyuwangi,Rogojampi
"",Jawa Timur,Kediri Kabupaten,Kunjang
"",Kalimantan Timur,Penajam Paser Utara,Sepaku
"",Jawa Timur,Mojokerto Kabupaten,Gedek
"",Jawa Tengah,Banyumas,Kedungbanteng
"",Daerah Istimewa Yogyakarta,Bantul,Jetis
"",Jawa Tengah,Kendal,Boja
"",Bali,Badung,Petang
"",Sumatera Utara,Samosir,Ronggur Nihuta
"",Jawa Tengah,Brebes,Kersana
"",Banten,Lebak,Malingping
"",Nusa Tenggara Timur,Sumba Barat,""
"",Jawa Timur,Mojokerto,Pungging
"",Jawa Tengah,Wonogiri,Paranggupito
"",Jawa Tengah,Boyolali,Klego
"",Bengkulu,Bengkulu,Kampung Melayu
"",Jawa Barat,Pangandaran,Sidamulih
"",Banten,Lebak,Wanasalam
"",Sumatera Barat,Sawahlunto,Lembah Segar
"",Kalimantan Barat,Kubu Raya,Kubu
JABODETABEK,Jawa Barat,Bogor,Kemang
Bandung Raya,Jawa Barat,Bandung Barat,Ngamprah
"",Jawa Barat,Majalengka,Kertajati
"",Jawa Barat,Bandung Kota,Kiaracondong
"",Jawa Tengah,Karanganyar,Karanganyar
"",Jawa Barat,Sukabumi Kota,Citamiang
"",Riau,Kampar,Siak Hulu
"",Gorontalo,Pohuwato,Marisa
"",Sumatera Utara,Medan,Medan Maimun
"",Jawa Timur,Malang Kabupaten,Wajak
"",Kalimantan Barat,Singkawang,Singkawang Timur
"",Jawa Tengah,Pekalongan Kota,Pekalongan Timur
"",Jawa Timur,Pasuruan Kota,Gadingrejo
"",Jawa Tengah,Pekalongan Kabupaten,Buaran
"",Sumatera Utara,Langkat,Hinai
"",Daerah Istimewa Yogyakarta,Kulon Progo,Nanggulan
"",Kalimantan Timur,Kutai Timur,Bengalon
"",Sumatera Utara,Toba Samosir,Tampahan
"",Jawa Timur,Pasuruan Kabupaten,Sukorejo
"",Jawa Tengah,Demak,Guntur
"",Kalimantan Timur,Samarinda,Sungai Kunjang
"",Kalimantan Barat,Pontianak Kabupaten,Mempawah Hulu
"",Sulawesi Tengah,Morowali,Bahodopi
"",Jawa Barat,Karawang,""
"",Nusa Tenggara Timur,Kupang,Semau
JABODETABEK,Jawa Barat,Bogor,Bogor Timur
"",Aceh,Subulussalam,Simpang Kiri
"",Sulawesi Tengah,Banggai,""
"",Aceh,Banda Aceh,Jaya Baru
"",Sulawesi Selatan,Takalar,Polombangkeng Selatan
"",Papua Barat,Manokwari,Manokwari Selatan
"",Lampung,Lampung Selatan,Ketapang
JABODETABEK,Banten,Tangerang,Balaraja
"",Jawa Barat,Cirebon,Kesambi
"",Jawa Barat,Bandung Kota,Arcamanik
"",Sumatera Utara,Deli Serdang,Percut Sei Tuan
"",Jawa Barat,Bandung Kabupaten,Margaasih
"",DKI Jakarta,Jakarta Utara,Koja
"",Banten,Tangerang Kabupaten,Cikupa
"",Bali,Tabanan,Kerambitan
"",Daerah Istimewa Yogyakarta,Gunung Kidul,Wonosari
"",Nusa Tenggara Barat,Mataram,Mataram
JABODETABEK,DKI Jakarta,Jakarta Timur,""
"",Jawa Barat,Bekasi Kabupaten,Sukawangi
"",Jawa Barat,Bogor Kabupaten,Tanjungsari
"",Papua Barat Daya,Sorong,""
"",Jawa Barat,Tasikmalaya Kota,Cibeureum
"",Nusa Tenggara Timur,Sumba Timur,Kota Waingapu
"",Gorontalo,Gorontalo Kabupaten,Limboto
"",Jawa Timur,Ponorogo,Mlarak
"",Sumatera Utara,Pematangsiantar,Siantar Sitalasari
"",Jawa Timur,Mojokerto,Kemlagi
"",Nusa Tenggara Timur,Sumba Timur,Pandawai
"",Kepulauan Bangka Belitung,Bangka Tengah,Namang
"",Jawa Timur,Mojokerto,Pacet
"",Sulawesi Utara,Minahasa,Remboken
"",Jawa Timur,Blitar Kabupaten,Udanawu
"",Daerah Istimewa Yogyakarta,Bantul,Srandakan
"",Sulawesi Tengah,Banggai,Pagimana
"",Sulawesi Selatan,Bulukumba,Ujung Bulu
"",Jawa Tengah,Grobogan,Klambu
"",Aceh,Bireuen,""
"",Jawa Barat,Bandung Kota,Cicendo
